signal,confirmed_close_time,confirmed_price,pivot_open_time,pivot_price,sig_sens
SELL,1790058599999,23360.849609375,1790048700000,23489.0,10
BUY,1790139599999,23398.349609375,1790065800000,23285.94921875,10
SELL,1790155799999,23422.44921875,1790145900000,23466.900390625,10
