close_time,utc,price_quote,price_inr,cash_inr,equity_inr,unrealized_pnl_inr,position_qty,note
1789819199999,2026-09-19T11:59:59.999000+00:00,81302.63,7793913.935330582,100000.0,100000.0,0.0,0,initialized_no_historical_replay
1789833599999,2026-09-19T15:59:59.999000+00:00,81636.01,7825872.741924667,100000.0,100000.0,0.0,0.0,
1789847999999,2026-09-19T19:59:59.999000+00:00,81354.01,7798839.376217269,100000.0,100000.0,0.0,0.0,
1789876799999,2026-09-20T03:59:59.999000+00:00,80486.38,7715665.762427521,100000.0,100000.0,0.0,0.0,
1789905599999,2026-09-20T11:59:59.999000+00:00,80493.2,7716319.548080444,100000.0,100000.0,0.0,0.0,
1789919999999,2026-09-20T15:59:59.999000+00:00,80912.0,7756466.972045898,100000.0,100000.0,0.0,0.0,
1789934399999,2026-09-20T19:59:59.999000+00:00,81177.32,7781901.342930604,100000.0,100000.0,0.0,0.0,
1789963199999,2026-09-21T03:59:59.999000+00:00,81425.23,7799722.856247025,100000.0,100000.0,0.0,0.0,
1789991999999,2026-09-21T11:59:59.999000+00:00,84887.19,8132617.263855515,100000.0,100000.0,0.0,0.0,
1790020799999,2026-09-21T19:59:59.999000+00:00,86490.11,8286185.014944687,100000.0,100000.0,0.0,0.0,
1790049599999,2026-09-22T03:59:59.999000+00:00,85692.83,8206373.812647248,100000.0,100000.0,0.0,0.0,
1790078399999,2026-09-22T11:59:59.999000+00:00,85986.62,8218601.297046203,100000.0,100000.0,0.0,0.0,
1790092799999,2026-09-22T15:59:59.999000+00:00,86413.12,8259366.167827148,100000.0,100000.0,0.0,0.0,
1790107199999,2026-09-22T19:59:59.999000+00:00,86192.44,8238273.5730230715,100000.0,100000.0,0.0,0.0,
1790135999999,2026-09-23T03:59:59.999000+00:00,86704.27,8291529.10195961,100000.0,100000.0,0.0,0.0,
1790164799999,2026-09-23T11:59:59.999000+00:00,85649.95,8199270.001021194,100000.0,100000.0,0.0,0.0,
1790179199999,2026-09-23T15:59:59.999000+00:00,83996.01,8040938.319269028,100000.0,100000.0,0.0,0.0,
1790193599999,2026-09-23T19:59:59.999000+00:00,84518.0,8090908.4237213135,100000.0,100000.0,0.0,0.0,
1790222399999,2026-09-24T03:59:59.999000+00:00,83934.01,8047383.248692016,100000.0,100000.0,0.0,0.0,
1790251199999,2026-09-24T11:59:59.999000+00:00,83494.58,8010887.452619476,100000.0,100000.0,0.0,0.0,
1790265599999,2026-09-24T15:59:59.999000+00:00,84418.0,8099484.984237671,100000.0,100000.0,0.0,0.0,
1790279999999,2026-09-24T19:59:59.999000+00:00,84412.65,8098971.678489303,100000.0,100000.0,0.0,0.0,
1790308799999,2026-09-25T03:59:59.999000+00:00,84231.19,8078192.174128723,100000.0,100000.0,0.0,0.0,
