close_time,utc,price_quote,price_inr,cash_inr,equity_inr,unrealized_pnl_inr,position,note
1789765199999,2026-09-18T20:59:59.999000+00:00,4424.89990234375,424184.17474711314,100000.0,100000.0,0.0,,initialized_no_historical_replay
1789946099999,2026-09-20T23:14:59.999000+00:00,4411.5,422899.61992263794,100000.0,100000.0,0.0,,
1789954199999,2026-09-21T01:29:59.999000+00:00,4417.10009765625,423436.4620784484,100000.0,100000.0,0.0,,
1789973999999,2026-09-21T06:59:59.999000+00:00,4390.7001953125,420815.67810949683,100000.0,100000.0,0.0,,
1790000099999,2026-09-21T14:14:59.999000+00:00,4363.7001953125,418064.2985436097,0.0,99008.49235377957,-991.5076462204306,LONG,
1790018999999,2026-09-21T19:29:59.999000+00:00,4384.5,420057.0238380432,0.0,99480.42149904363,-519.5785009563697,LONG,
1790030699999,2026-09-21T22:44:59.999000+00:00,4389.0,420488.1463394165,0.0,99582.5225132404,-417.47748675959883,LONG,
1790040599999,2026-09-22T01:29:59.999000+00:00,4390.89990234375,420670.1664840393,0.0,99625.62961461188,-374.3703853881161,LONG,
1790059499999,2026-09-22T06:44:59.999000+00:00,4352.89990234375,417062.22189331055,0.0,98771.17455669747,-1228.8254433025286,LONG,
1790080199999,2026-09-22T12:29:59.999000+00:00,4374.7001953125,418133.85267828405,0.0,99024.9645807434,-975.035419256601,LONG,
1790097299999,2026-09-22T17:14:59.999000+00:00,4376.5,418305.87801361084,0.0,99065.70465148536,-934.2953485146427,LONG,
1790108099999,2026-09-22T20:14:59.999000+00:00,4400.5,420599.79805755615,0.0,99608.96454218241,-391.0354578175902,LONG,
1790117999999,2026-09-22T22:59:59.999000+00:00,4400.2001953125,420571.14272497594,0.0,99602.17821460901,-397.8217853909882,LONG,
1790126099999,2026-09-23T01:14:59.999000+00:00,4387.0,419309.4680328369,0.0,99303.38085366532,-696.6191463346768,LONG,
1790144999999,2026-09-23T06:29:59.999000+00:00,4366.89990234375,417988.73607189953,99246.75666298729,99246.75666298729,0.0,,
1790165699999,2026-09-23T12:14:59.999000+00:00,4350.5,416516.86070632935,99246.75666298729,99246.75666298729,0.0,,
1790183699999,2026-09-23T17:14:59.999000+00:00,4315.7001953125,413141.9941847846,99246.75666298729,99246.75666298729,0.0,,
1790194499999,2026-09-23T20:14:59.999000+00:00,4320.89990234375,413639.7621563412,99246.75666298729,99246.75666298729,0.0,,
1790204399999,2026-09-23T22:59:59.999000+00:00,4326.2001953125,414147.1592200324,99246.75666298729,99246.75666298729,0.0,,
