close_time,utc,price_quote,price_inr,cash_inr,equity_inr,unrealized_pnl_inr,position_qty,note
1789725599999,2026-09-18T09:59:59.999000+00:00,56358.69921875,56358.69921875,100000.0,100000.0,0.0,0,initialized_no_historical_replay
1789971299999,2026-09-21T06:14:59.999000+00:00,56466.0,56466.0,100000.0,100000.0,0.0,0.0,
1789984799999,2026-09-21T09:59:59.999000+00:00,56494.8984375,56494.8984375,100000.0,100000.0,0.0,0.0,
1790055899999,2026-09-22T05:44:59.999000+00:00,56362.05078125,56362.05078125,100000.0,100000.0,0.0,0.0,
1790071199999,2026-09-22T09:59:59.999000+00:00,56215.55078125,56215.55078125,100000.0,100000.0,0.0,0.0,
1790138699999,2026-09-23T04:44:59.999000+00:00,56475.30078125,56475.30078125,100000.0,100000.0,0.0,0.0,
1790155799999,2026-09-23T09:29:59.999000+00:00,56514.19921875,56514.19921875,100039.23309628536,100039.23309628536,0.0,0.0,
1790157599999,2026-09-23T09:59:59.999000+00:00,56548.8984375,56548.8984375,100039.23309628536,100039.23309628536,0.0,0.0,
1790222399999,2026-09-24T03:59:59.999000+00:00,55712.0,55712.0,100039.23309628536,100039.23309628536,0.0,0.0,
1790240399999,2026-09-24T08:59:59.999000+00:00,55432.30078125,55432.30078125,50857.613231747004,99892.65667288139,-146.57642340395978,0.8845933282589006,
1790243999999,2026-09-24T09:59:59.999000+00:00,55438.5,55438.5,50857.613231747004,99898.14046042805,-141.09263585729786,0.8845933282589006,
1790309699999,2026-09-25T04:14:59.999000+00:00,55436.3515625,55436.3515625,50857.613231747004,99896.23996694939,-142.99312933597685,0.8845933282589006,
1790329499999,2026-09-25T09:44:59.999000+00:00,55522.5,55522.5,50834.01127783048,99948.84434608529,-64.8116605549294,0.8845933282589005,
