signal,confirmed_close_time,confirmed_price,ob_open_time,ob_high,ob_low,ob_avg,move_pct
BULLISH_OB,1789992899999,4407.39990234375,1789987500000,4385.7001953125,4380.10009765625,4382.900146484375,0.6163820793063561
BULLISH_OB,1790098199999,4377.2001953125,1790092800000,4368.60009765625,4359.7998046875,4364.199951171875,0.3691751460807456
BEARISH_OB,1790141399999,4378.2001953125,1790136000000,4384.2001953125,4379.39990234375,4381.800048828125,0.11179079269419598
BEARISH_OB,1790150399999,4356.2001953125,1790145000000,4371.7998046875,4366.2001953125,4369.0,0.3408730527982924
BULLISH_OB,1790211599999,4333.7001953125,1790206200000,4323.60009765625,4320.2001953125,4321.900146484375,0.3078486545084587
BULLISH_OB,1790227799999,4325.10009765625,1790222400000,4320.10009765625,4316.39990234375,4318.25,0.12732660143665192
BULLISH_OB,1790254799999,4316.0,1790249400000,4298.2001953125,4292.7998046875,4295.5,0.486598725723637
BULLISH_OB,1790267399999,4310.89990234375,1790262000000,4288.2998046875,4279.5,4283.89990234375,0.6725626218607825
BEARISH_OB,1790271899999,4294.2001953125,1790266500000,4324.2998046875,4294.0,4309.14990234375,0.38738331693043265
BULLISH_OB,1790298899999,4324.7001953125,1790293500000,4309.60009765625,4299.89990234375,4304.75,0.5720819771069555
BEARISH_OB,1790306999999,4313.10009765625,1790301600000,4330.5,4323.2001953125,4326.85009765625,0.2820545992679788
