signal,confirmed_close_time,confirmed_price,pivot_open_time,pivot_price,sig_sens
SELL,1789972199999,56471.05078125,1789962300000,56510.1015625,10
SELL,1790059499999,56265.6015625,1790049600000,56671.0,10
