close_time,utc,price_quote,price_inr,cash_inr,equity_inr,unrealized_pnl_inr,position,note
1789825499999,2026-09-19T13:44:59.999000+00:00,81263.09,7790123.512351608,100000.0,100000.0,0.0,,initialized_no_historical_replay
1789837199999,2026-09-19T16:59:59.999000+00:00,81839.49,7845378.944953538,100000.0,100000.0,0.0,,
1789838099999,2026-09-19T17:14:59.999000+00:00,81716.0,7833540.82321167,100000.0,100000.0,0.0,,
1789845299999,2026-09-19T19:14:59.999000+00:00,81380.86,7801413.297739411,100000.0,100000.0,0.0,,
1789853399999,2026-09-19T21:29:59.999000+00:00,81060.0,7770654.695892334,100000.0,100000.0,0.0,,
1789860599999,2026-09-19T23:29:59.999000+00:00,81306.0,7794236.993637085,0.0,100000.0,0.0,LONG,
1789867799999,2026-09-20T01:29:59.999000+00:00,81122.0,7776598.201828003,0.0,99773.69443829484,-226.30556170515774,LONG,
1789887599999,2026-09-20T06:59:59.999000+00:00,80309.44,7698703.763391114,0.0,98774.30939906035,-1225.690600939648,LONG,
1789906499999,2026-09-20T12:14:59.999000+00:00,80488.01,7715822.019115829,98786.78080338475,98786.78080338475,0.0,,
1789920899999,2026-09-20T16:14:59.999000+00:00,81160.08,7780248.664828491,98786.78080338475,98786.78080338475,0.0,,
1789929899999,2026-09-20T18:44:59.999000+00:00,81218.05,7785805.842878342,0.0,98595.0245364493,-191.756266935452,LONG,
1789938899999,2026-09-20T21:14:59.999000+00:00,80769.55,7742811.287843704,0.0,98050.5659031209,-736.2149002638471,LONG,
1789946099999,2026-09-20T23:14:59.999000+00:00,81157.52,7780003.255551148,0.0,98521.54386515528,-265.236938229471,LONG,
1789953299999,2026-09-21T01:14:59.999000+00:00,81794.0,7841018.137130737,0.0,99294.20168219175,507.42087880699546,LONG,
1789973999999,2026-09-21T06:59:59.999000+00:00,81639.9,7824367.717025756,0.0,99083.3502158282,296.56941244345217,LONG,
1789998299999,2026-09-21T13:44:59.999000+00:00,85080.58,8151144.992864532,0.0,103221.47209806708,4434.691294682329,LONG,
1790017199999,2026-09-21T18:59:59.999000+00:00,86051.75,8244187.93501091,0.0,104399.7150890937,5612.9342857089505,LONG,
1790029799999,2026-09-21T22:29:59.999000+00:00,86418.95,8279367.53112297,0.0,104845.20951983701,6058.428716452254,LONG,
1790038799999,2026-09-22T00:59:59.999000+00:00,85890.71,8228759.4977617655,0.0,104204.33811979387,5417.557316409118,LONG,
1790057699999,2026-09-22T06:14:59.999000+00:00,85349.01,8176648.348199843,104074.83809463648,104074.83809463648,0.0,,
1790077499999,2026-09-22T11:44:59.999000+00:00,86106.18,8230028.842065124,104074.83809463648,104074.83809463648,0.0,,
1790095499999,2026-09-22T16:44:59.999000+00:00,86232.0,8242054.717895508,104074.83809463648,104074.83809463648,0.0,,
1790107199999,2026-09-22T19:59:59.999000+00:00,86192.44,8238273.5730230715,104074.83809463648,104074.83809463648,0.0,,
1790117099999,2026-09-22T22:44:59.999000+00:00,86216.0,8240525.437866211,104074.83809463648,104074.83809463648,0.0,,
1790126099999,2026-09-23T01:14:59.999000+00:00,86721.43,8288834.43819168,104074.83809463648,104074.83809463648,0.0,,
1790144999999,2026-09-23T06:29:59.999000+00:00,86424.0,8272072.843505859,104074.83809463648,104074.83809463648,0.0,,
1790164799999,2026-09-23T11:59:59.999000+00:00,85649.95,8200126.030031967,104074.83809463648,104074.83809463648,0.0,,
1790182799999,2026-09-23T16:59:59.999000+00:00,84038.0,8044958.022109985,104074.83809463648,104074.83809463648,0.0,,
1790194499999,2026-09-23T20:14:59.999000+00:00,84340.0,8073868.483123779,0.0,103941.7374585738,-133.10063606267795,LONG,
1790204399999,2026-09-23T22:59:59.999000+00:00,84563.01,8095217.231172409,0.0,104216.57794791025,141.7398532737716,LONG,
1790212499999,2026-09-24T01:14:59.999000+00:00,84281.96,8068312.3137289435,103963.92089791757,103963.92089791757,0.0,,
1790231399999,2026-09-24T06:29:59.999000+00:00,84193.98,8073150.000310363,103963.92089791757,103963.92089791757,0.0,,
1790252099999,2026-09-24T12:14:59.999000+00:00,83533.16,8014589.010707703,103963.92089791757,103963.92089791757,0.0,,
1790270099999,2026-09-24T17:14:59.999000+00:00,84478.0,8105241.68421936,0.0,104234.84166052325,270.9207626056741,LONG,
1790281799999,2026-09-24T20:29:59.999000+00:00,84266.0,8084901.344284058,103857.2898813653,103857.2898813653,0.0,,
1790292599999,2026-09-24T23:29:59.999000+00:00,84435.26,8101140.994932403,103857.2898813653,103857.2898813653,0.0,,
1790300699999,2026-09-25T01:44:59.999000+00:00,84479.69,8105403.831268845,103857.2898813653,103857.2898813653,0.0,,
