cycle,dir,entry_time,exit_time,entry,exit,stop,target,qty,gross_pnl,fees,net_pnl,return_pct,result,r,balance_after
1789753500000,long,1789776899999,1789780499999,80976.01,81677.71,80720.41,81677.71,0.001233699955086697,0.8656872584843497,0.2006658870586842,0.6650213714256654,0.6650213714256654,target,2.745305164319388,100.66502137142567
1789780500000,short,1789809299999,1789829099999,81435.11,81615.62,81615.62,80602.67,0.0012349029419191694,-0.22291233004582278,0.20135182615906816,-0.42426415620489094,-0.42146134816727976,stop,-1.0,100.24075721522078
1789872300000,short,1789913699999,1789917299999,80592.01,80843.28,80843.28,79794.39,0.0012425625890038253,-0.31221870173899624,0.20059345189898337,-0.5128121536379796,-0.5115804867045768,stop,-1.0,99.7279450615828
1790039700000,long,1790062199999,1790067599999,85322.71,86211.88,85095.1,86211.88,0.0011676647019865868,1.0382524230654113,0.20029488591274136,0.83795753715267,0.8402434609830018,target,3.906550678792654,100.56590259873548
1790066700000,short,1790086499999,1790091899999,86350.01,86573.54,86573.54,85349.27,0.0011634675799293355,-0.260069908141603,0.20119094423128944,-0.46126085237289244,-0.45866525378224204,stop,-1.0,100.10464174636259
