signal,confirmed_close_time,confirmed_price,ob_open_time,ob_high,ob_low,ob_avg,move_pct
BEARISH_OB,1789840799999,81464.01,1789835400000,81914.01,81825.97,81869.98999999999,0.4850534588598232
BULLISH_OB,1789860599999,81306.0,1789855200000,81100.42,80962.0,81031.20999999999,0.3703305470791676
BEARISH_OB,1789901999999,80319.58,1789896600000,80581.82,80382.01,80481.91500000001,0.28853411460919437
BULLISH_OB,1789922699999,81376.01,1789917300000,80766.0,80666.66,80716.33,0.8786842731618274
BULLISH_OB,1789981199999,83760.0,1789975800000,81614.02,81458.42,81536.22,2.7682775332423355
BULLISH_OB,1789991999999,84887.19,1789986600000,84368.16,84130.21,84249.185,0.7414335497524164
BULLISH_OB,1790019899999,86577.63,1790014500000,85987.64,85891.73,85939.685,0.7618563686425367
BEARISH_OB,1790039699999,85786.21,1790034300000,86654.64,86462.01,86558.325,0.9625836989147929
BEARISH_OB,1790054099999,85404.72,1790048700000,85742.74,85486.84,85614.79000000001,0.3362124929238544
BEARISH_OB,1790113499999,86208.95,1790108100000,86378.32,86208.0,86293.16,0.13944275948858245
BULLISH_OB,1790192699999,84448.0,1790187300000,84203.36,84143.17,84173.265,0.344578014617985
BEARISH_OB,1790208899999,84358.0,1790203500000,84620.0,84496.01,84558.005,0.242434605863716
BEARISH_OB,1790215199999,84104.35,1790209800000,84452.52,84338.0,84395.26000000001,0.3077734578730195
BEARISH_OB,1790223299999,83822.0,1790217900000,84372.01,84332.0,84352.005,0.6442677899056815
BEARISH_OB,1790241299999,83460.72,1790235900000,84612.01,84430.18,84521.095,1.257985599833045
BULLISH_OB,1790258399999,84258.43,1790253000000,83550.01,83346.66,83448.33499999999,0.9082873163727745
BEARISH_OB,1790271899999,84172.01,1790266500000,84837.0,84262.01,84549.505,0.6312486187636664
BEARISH_OB,1790345699999,83580.01,1790340300000,84574.01,84435.99,84505.0,1.0557251058933375
BULLISH_OB,1790387999999,84076.66,1790382600000,83950.41,83798.0,83874.205,0.23278104561918295
BULLISH_OB,1790420399999,84179.92,1790415000000,84031.18,83981.1,84006.14,0.1915400316047515
