close_time,signal,side,sizing_rule,ladder_step,fraction_pct,sequence_base,price_quote,price_inr,qty,gross_notional_inr,fee_inr,cash_after_inr
1790139599999,BUY,BUY,LADDER,1,50.0,current_cash,56523.1484375,56523.1484375,0.8845933282589006,50000.0,0.0,50000.0
1790151299999,SELL,SELL,RESTORE_LAST_BUY_QTY,0,,current_position,56567.5,56567.5,0.8845933282589006,50039.23309628536,0.0,100039.23309628536
1790233199999,BUY,BUY,RESTORE_LAST_SELL_QTY,0,,current_cash,55598.0,55598.0,0.8845933282589006,49181.619864538356,0.0,50857.613231747004
1790311499999,BUY,BUY,LADDER,1,50.0,current_cash,55591.44921875,55591.44921875,0.45742298452793023,25428.806615873502,0.0,25428.806615873502
1790320499999,SELL,SELL,RESTORE_LAST_BUY_QTY,0,,current_position,55539.8515625,55539.8515625,0.45742298452793023,25405.20466195698,0.0,50834.01127783048
1790330399999,BUY,BUY,RESTORE_LAST_SELL_QTY,0,,current_cash,55580.3984375,55580.3984375,0.45742298452793023,25423.75173453276,0.0,25410.25954329772
