close_time,utc,price_quote,price_inr,cash_inr,equity_inr,unrealized_pnl_inr,position_qty,note
1789725599999,2026-09-18T09:59:59.999000+00:00,23346.400390625,23346.400390625,100000.0,100000.0,0.0,0,initialized_no_historical_replay
1789973999999,2026-09-21T06:59:59.999000+00:00,23419.44921875,23419.44921875,100000.0,100000.0,0.0,0.0,
1789984799999,2026-09-21T09:59:59.999000+00:00,23429.0,23429.0,100000.0,100000.0,0.0,0.0,
1790057699999,2026-09-22T06:14:59.999000+00:00,23371.400390625,23371.400390625,100000.0,100000.0,0.0,0.0,
1790071199999,2026-09-22T09:59:59.999000+00:00,23329.0,23329.0,100000.0,100000.0,0.0,0.0,
1790144999999,2026-09-23T06:29:59.999000+00:00,23429.55078125,23429.55078125,50000.0,100066.67387314895,66.67387314893858,2.1369028514714787,
1790157599999,2026-09-23T09:59:59.999000+00:00,23446.80078125,23446.80078125,100051.49852399278,100051.49852399278,0.0,0.0,
1790231399999,2026-09-24T06:29:59.999000+00:00,23197.349609375,23197.349609375,100051.49852399278,100051.49852399278,0.0,0.0,
1790243999999,2026-09-24T09:59:59.999000+00:00,23063.099609375,23063.099609375,100051.49852399278,100051.49852399278,0.0,0.0,
1790321399999,2026-09-25T07:29:59.999000+00:00,23040.69921875,23040.69921875,50739.794097724065,99975.52995816761,-75.96856582516193,2.1369028514714787,
1790330399999,2026-09-25T09:59:59.999000+00:00,23140.5,23140.5,25369.897048862033,100188.79453219983,137.29600820704945,3.233244635307698,
