date,cash,equity,total_profit,total_return_pct,realized_pnl,unrealized_pnl_est,open_positions,max_drawdown_pct,max_capital_deployed
2026-09-18,91985.69,99966.84,-33.16,-0.0332,0.0,-33.16,1,0.0332,8014.31
2026-09-21,100033.37,100033.37,33.37,0.0334,33.37,0,0,0.0332,8014.31
2026-09-22,100033.37,100033.37,33.37,0.0334,33.37,0,0,0.0332,8014.31
2026-09-23,100033.37,100033.37,33.37,0.0334,33.37,0,0,0.0332,8014.31
2026-09-24,100033.37,100033.37,33.37,0.0334,33.37,0,0,0.0332,8014.31
2026-09-25,100033.37,100033.37,33.37,0.0334,33.37,0,0,0.0332,8014.31
